Prefix;DXCC;Continent;Country;ITU;CQ
1A;246;EU;Sov Mil Order of Malta;28;15
1A0;246;EU;Sov. Mil. Order Of Malta;28;15
1B;901;AS;Northern Cyprus;39;20
1M;178;OC;Minerva Reef;62;32
1S;247;OC;Spratly Islands;50;26
2A;223;EU;England;27;14
2B;223;EU;England;27;14
2C;223;EU;England;27;14
2D;114;EU;Isle of Man;27;14
2E;223;EU;England;27;14
2F;223;EU;England;27;14
2G;223;EU;England;27;14
2H;223;EU;England;27;14
2I;265;EU;Northern Ireland;27;14
2K;223;EU;England;27;14
2L;223;EU;England;27;14
2M;279;EU;Scotland;27;14
2N;223;EU;England;27;14
2O;223;EU;England;27;14
2P;223;EU;England;27;14
2Q;223;EU;England;27;14
2R;223;EU;England;27;14
2S;223;EU;England;27;14
2T;223;EU;England;27;14
2U;106;EU;Guernsey;27;14
2V;223;EU;England;27;14
2X;223;EU;England;27;14
2Y;223;EU;England;27;14
2Z;223;EU;England;27;14
3A;260;EU;Monaco;27;14
3B;165;AF;Mauritius;53;39
3B6;4;AF;Agalega & St Brandon;53;39
3B7;4;AF;Agalega & St Brandon;53;39
3B8;165;AF;Mauritius;53;39
3B9;207;AF;Rodriguez Is;53;39
3C;49;AF;Equatorial Guinea;47;36
3C0;195;AF;Annobon Is;52;36
3D2;176;OC;Fiji;56;32
3D2;460;OC;Rotuma Is;56;32
3D2;489;OC;Conway Reef;56;32
3D6;468;AF;Swaziland;57;38
3DA;468;AF;Swaziland;57;38
3DB;468;AF;Swaziland;57;38
3DC;468;AF;Swaziland;57;38
3DD;468;AF;Swaziland;57;38
3DE;468;AF;Swaziland;57;38
3DF;468;AF;Swaziland;57;38
3DG;468;AF;Swaziland;57;38
3DH;468;AF;Swaziland;57;38
3DI;468;AF;Swaziland;57;38
3DJ;468;AF;Swaziland;57;38
3DK;468;AF;Swaziland;57;38
3DL;468;AF;Swaziland;57;38
3DM;468;AF;Swaziland;57;38
3E;88;NA;Panama;11;7
3F;88;NA;Panama;11;7
3G;112;SA;Chile;14;12
3H;318;AS;China;33;24
3I;318;AS;China;33;24
3J;318;AS;China;33;24
3K;318;AS;China;33;24
3L;318;AS;China;33;24
3M;318;AS;China;33;24
3N;318;AS;China;33;24
3O;318;AS;China;33;24
3P;318;AS;China;33;24
3Q;318;AS;China;33;24
3R;318;AS;China;33;24
3S;318;AS;China;33;24
3T;318;AS;China;33;24
3U;318;AS;China;33;24
3V;474;AF;Tunisia;37;33
3W;293;AS;Vietnam;49;26
3X;107;AF;Guinea;46;35
3Y;24;AF;Bouvet;67;38
3Y;199;AN;Peter I Is;72;12
3Z;269;EU;Poland;28;15
4A;50;NA;Mexico;10;6
4B;50;NA;Mexico;10;6
4C;50;NA;Mexico;10;6
4D;375;OC;Philippines;50;27
4E;375;OC;Philippines;50;27
4F;375;OC;Philippines;50;27
4G;375;OC;Philippines;50;27
4H;375;OC;Philippines;50;27
4I;375;OC;Philippines;50;27
4J;18;AS;Azerbaijan;29;21
4J1;151;EU;Maly Vysotsky Island;29;16
4K;18;AS;Azerbaijan;29;21
4K1;241;SA;South Shetland Islands;73;13
4L;75;AS;Georgia;29;21
4N;296;EU;Serbia;28;15
4N5;502;EU;Macedonia;28;15
4O;514;EU;Montenegro;28;15
4P;315;AS;Sri Lanka;41;22
4Q;315;AS;Sri Lanka;41;22
4R;315;AS;Sri Lanka;41;22
4S;315;AS;Sri Lanka;41;22
4T;136;SA;Peru;12;10
4U;117;EU;ITU Geneva;28;14
4U_ITU;117;EU;Itu Geneva;28;14
4U_UN;289;NA;United Nations Hq;8;5
4V;78;NA;Haiti;11;8
4W;511;OC;Timor Leste;54;28
4X;336;AS;Israel;39;20
4X1;336;AS;Israel;39;20
4Z;336;AS;Israel;39;20
5A;436;AF;Libya;38;34
5B;215;AS;Cyprus;39;20
5C;446;AF;Morocco;37;33
5D;446;AF;Morocco;37;33
5E;446;AF;Morocco;37;33
5F;446;AF;Morocco;37;33
5G;446;AF;Morocco;37;33
5H;470;AF;Tanzania;53;37
5H1;307;AF;Zanzibar;53;37
5I;470;AF;Tanzania;53;37
5L;434;AF;Liberia;46;35
5M;434;AF;Liberia;46;35
5N;450;AF;Nigeria;46;35
5O;450;AF;Nigeria;46;35
5R;438;AF;Madagascar;53;39
5S;438;AF;Madagascar;53;39
5T;444;AF;Mauritania;46;35
5U;187;AF;Niger;46;35
5V;483;AF;Togo;46;35
5W;190;OC;Samoa;62;32
5X;286;AF;Uganda;48;37
5Y;430;AF;Kenya;48;37
5Z;430;AF;Kenya;48;37
6A;478;AF;Egypt;38;34
6B;478;AF;Egypt;38;34
6C;384;AS;Syria;39;20
6D;50;NA;Mexico;10;6
6E;50;NA;Mexico;10;6
6F;50;NA;Mexico;10;6
6G;50;NA;Mexico;10;6
6H;50;NA;Mexico;10;6
6I;50;NA;Mexico;10;6
6J;50;NA;Mexico;10;6
6K;137;AS;South Korea;44;25
6L;137;AS;South Korea;44;25
6M;137;AS;South Korea;44;25
6N;137;AS;South Korea;44;25
6O;232;AF;Somalia;48;37
6P;372;AS;Pakistan;41;21
6Q;372;AS;Pakistan;41;21
6R;372;AS;Pakistan;41;21
6S;372;AS;Pakistan;41;21
6T;466;AF;Sudan;48;34
6U;466;AF;Sudan;48;34
6V;456;AF;Senegal;46;35
6W;456;AF;Senegal;46;35
6X;438;AF;Madagascar;53;39
6Y;82;NA;Jamaica;11;8
6Z;434;AF;Liberia;46;35
7A;327;OC;Indonesia;51;28
7B;327;OC;Indonesia;51;28
7C;327;OC;Indonesia;51;28
7D;327;OC;Indonesia;51;28
7E;327;OC;Indonesia;51;28
7F;327;OC;Indonesia;51;28
7G;327;OC;Indonesia;51;28
7H;327;OC;Indonesia;51;28
7I;327;OC;Indonesia;51;28
7J;339;AS;Japan;45;25
7J1;194;AS;Okino Tori-shima;45;27
7K;339;AS;Japan;45;25
7L;339;AS;Japan;45;25
7M;339;AS;Japan;45;25
7N;339;AS;Japan;45;25
7O;492;AS;Yemen;39;21
7P;432;AF;Lesotho;53;37
7Q;440;AF;Malawi;53;37
7R;400;AF;Algeria;37;33
7T;400;AF;Algeria;37;33
7U;400;AF;Algeria;37;33
7V;400;AF;Algeria;37;33
7W;400;AF;Algeria;37;33
7X;400;AF;Algeria;37;33
7Y;400;AF;Algeria;37;33
7Z;378;AS;Saudi Arabia;39;21
8A;327;OC;Indonesia;51;28
8B;327;OC;Indonesia;51;28
